X,Y,OBJECTID,FORMULARIO,CODIGO_ACCIDENTE,FECHA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,GRAVEDAD,CLASE_ACC,LOCALIDAD
-74.129375662,4.65221530784729,354886,A001133398,10511982,2020/02/24 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.1201012019999,4.67900159584641,354887,A001131879,10512381,2020/02/27 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.114939137,4.67097818484666,354888,A001135060,10513695,2020/03/11 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.132982144,4.66669491584681,354889,A001134537,10512054,2020/02/26 00:00:00+00,2020,CON HERIDOS,VOLCAMIENTO,FONTIBON
-74.123328219,4.64183430084766,354890,A001134403,10512933,2020/03/02 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.0860624859999,4.61972974784836,354891,A001135936,10513345,2020/03/06 00:00:00+00,2020,SOLO DANOS,CHOQUE,LOS MARTIRES
-74.1217871429999,4.68644801484618,355013,A001130574,10507982,2020/01/10 00:00:00+00,2020,SOLO DANOS,CHOQUE,ENGATIVA
-74.076178113,4.58619354584946,355014,A001132396,10510398,2020/02/07 00:00:00+00,2020,CON HERIDOS,CHOQUE,SANTA FE
-74.13832701,4.61737141484841,355015,A001133039,10510402,2020/02/09 00:00:00+00,2020,CON HERIDOS,CHOQUE,KENNEDY
-74.105101964,4.58450391084952,355016,A001132443,10510414,2020/02/08 00:00:00+00,2020,CON HERIDOS,CHOQUE,ANTONIO NARIÑO
-74.130911434,4.59385582684917,355017,A001132561,10509633,2020/01/30 00:00:00+00,2020,CON HERIDOS,CHOQUE,TUNJUELITO
-74.065775054,4.69043853184603,355018,A001130895,10509650,2020/01/30 00:00:00+00,2020,CON HERIDOS,ATROPELLO,SUBA
-74.14014078,4.71135769384539,355020,A001132293,10509706,2020/01/31 00:00:00+00,2020,CON HERIDOS,CHOQUE,ENGATIVA
-74.0522833479999,4.71809595484513,355021,A001132152,10509707,2020/02/01 00:00:00+00,2020,CON HERIDOS,CHOQUE,USAQUEN
-74.1312985869999,4.58575596684948,355022,A001131638,10509763,2020/01/31 00:00:00+00,2020,SOLO DANOS,CHOQUE,TUNJUELITO
-74.1448395049999,4.59516404184912,355023,A001131615,10509766,2020/01/31 00:00:00+00,2020,SOLO DANOS,CHOQUE,TUNJUELITO
-74.0917199849999,4.75525978584396,355024,A001131882,10509785,2020/02/03 00:00:00+00,2020,CON HERIDOS,CHOQUE,SUBA
-74.0809493679999,4.64301514084759,355025,A001132556,10509787,2020/02/03 00:00:00+00,2020,CON HERIDOS,CHOQUE,TEUSAQUILLO
-74.081551271,4.77222266284338,355026,A001131789,10509788,2020/02/02 00:00:00+00,2020,CON HERIDOS,VOLCAMIENTO,SUBA
-74.065001561,4.6888645238461,355051,A001132679,10509909,2020/02/04 00:00:00+00,2020,SOLO DANOS,CHOQUE,BARRIOS UNIDOS
-74.142074652,4.69743620284582,355052,A001131044,10510061,2020/02/04 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.126847815,4.64956970184739,355053,A001131538,10509875,2020/02/03 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.133324768,4.6118261798486,355054,A001132324,10509950,2020/02/03 00:00:00+00,2020,CON HERIDOS,CHOQUE,KENNEDY
-74.1275568309999,4.6807976308464,355062,A001131525,10508856,2020/01/22 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.114207709,4.65413908884725,355070,A001131497,10509917,2020/02/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.109703609,4.59382720184921,355077,A001129077,10508324,2020/01/15 00:00:00+00,2020,SOLO DANOS,CHOQUE,ANTONIO NARIÑO
-74.1159947629999,4.65645659384719,355081,A001130867,10509636,2020/01/30 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.0784223759999,4.61591453184846,355093,A001062004,10507788,2020/01/08 00:00:00+00,2020,CON HERIDOS,CHOQUE,LOS MARTIRES
-74.1564239099999,4.6826940678463,355096,A001135005,10512727,2020/03/01 00:00:00+00,2020,SOLO DANOS,CHOQUE,FONTIBON
-74.154053059,4.63236137284793,355101,A001128088,10514276,2020/04/08 00:00:00+00,2020,CON MUERTOS,ATROPELLO,KENNEDY
-74.054714914,4.69965746284576,355102,A001127669,10514278,2020/04/09 00:00:00+00,2020,CON MUERTOS,CAIDA DE OCUPANTE,USAQUEN
-74.147149298,4.56444021885016,355103,A001135794,10514280,2020/04/02 00:00:00+00,2020,CON HERIDOS,CHOQUE,CIUDAD BOLIVAR
